frame,behavior,behavior_label
1,0,still
2,0,still
3,0,still
4,0,still
5,0,still
6,0,still
7,0,still
8,0,still
9,0,still
10,0,still
11,0,still
12,0,still
13,0,still
14,0,still
15,0,still
16,0,still
17,0,still
18,0,still
19,0,still
20,0,still
21,0,still
22,0,still
23,0,still
24,0,still
25,0,still
26,0,still
27,0,still
28,0,still
29,0,still
30,0,still
31,0,still
32,0,still
33,0,still
34,0,still
35,0,still
36,0,still
37,0,still
38,0,still
39,0,still
40,0,still
41,0,still
42,0,still
43,0,still
44,0,still
45,0,still
46,0,still
47,0,still
48,0,still
49,1,walking
50,1,walking
51,1,walking
52,1,walking
53,1,walking
54,1,walking
55,1,walking
56,1,walking
57,1,walking
58,1,walking
59,1,walking
60,1,walking
61,1,walking
62,1,walking
63,1,walking
64,1,walking
65,1,walking
66,1,walking
67,1,walking
68,1,walking
69,1,walking
70,1,walking
71,1,walking
72,1,walking
73,1,walking
74,1,walking
75,1,walking
76,1,walking
77,1,walking
78,1,walking
79,1,walking
80,1,walking
81,1,walking
82,1,walking
83,1,walking
84,1,walking
85,1,walking
86,1,walking
87,1,walking
88,1,walking
89,1,walking
90,1,walking
91,1,walking
92,1,walking
93,1,walking
94,1,walking
95,1,walking
96,1,walking
97,1,walking
98,1,walking
99,1,walking
100,1,walking
101,1,walking
102,1,walking
103,1,walking
104,1,walking
105,1,walking
106,1,walking
107,1,walking
108,1,walking
109,1,walking
110,1,walking
111,1,walking
112,1,walking
113,1,walking
114,1,walking
115,1,walking
116,1,walking
117,1,walking
118,1,walking
119,1,walking
120,1,walking
121,1,walking
122,1,walking
123,1,walking
124,1,walking
125,1,walking
126,1,walking
127,1,walking
128,1,walking
129,1,walking
130,1,walking
131,1,walking
132,1,walking
133,1,walking
134,1,walking
135,1,walking
136,1,walking
137,1,walking
138,1,walking
139,1,walking
140,1,walking
141,1,walking
142,1,walking
143,1,walking
144,1,walking
145,1,walking
146,1,walking
147,1,walking
148,1,walking
149,1,walking
150,1,walking
151,1,walking
152,1,walking
153,1,walking
154,1,walking
155,1,walking
156,1,walking
157,1,walking
158,1,walking
159,1,walking
160,1,walking
161,1,walking
162,1,walking
163,1,walking
164,1,walking
165,1,walking
166,1,walking
167,1,walking
168,1,walking
169,1,walking
170,1,walking
171,1,walking
172,1,walking
173,1,walking
174,1,walking
175,1,walking
176,1,walking
177,1,walking
178,1,walking
179,1,walking
180,1,walking
181,1,walking
182,1,walking
183,1,walking
184,1,walking
185,1,walking
186,1,walking
187,1,walking
188,1,walking
189,1,walking
190,1,walking
191,1,walking
192,1,walking
193,1,walking
194,1,walking
195,1,walking
196,1,walking
197,1,walking
198,1,walking
199,1,walking
200,1,walking
201,1,walking
202,1,walking
203,1,walking
204,1,walking
205,1,walking
206,1,walking
207,1,walking
208,1,walking
209,1,walking
210,1,walking
211,1,walking
212,1,walking
213,1,walking
214,1,walking
215,1,walking
216,1,walking
217,1,walking
218,1,walking
219,1,walking
220,1,walking
221,1,walking
222,1,walking
223,1,walking
224,1,walking
225,1,walking
226,1,walking
227,1,walking
228,1,walking
229,1,walking
230,1,walking
231,1,walking
232,1,walking
233,1,walking
234,1,walking
235,1,walking
236,1,walking
237,1,walking
238,1,walking
239,1,walking
240,1,walking
241,1,walking
242,1,walking
243,1,walking
244,1,walking
245,1,walking
246,1,walking
247,1,walking
248,1,walking
249,1,walking
250,1,walking
251,1,walking
252,1,walking
253,1,walking
254,1,walking
255,1,walking
256,1,walking
257,1,walking
258,1,walking
259,1,walking
260,1,walking
261,1,walking
262,1,walking
263,1,walking
264,1,walking
265,1,walking
266,1,walking
267,1,walking
268,1,walking
269,1,walking
270,1,walking
271,1,walking
272,1,walking
273,1,walking
274,1,walking
275,1,walking
276,1,walking
277,1,walking
278,1,walking
279,1,walking
280,1,walking
281,1,walking
282,1,walking
283,1,walking
284,1,walking
285,1,walking
286,1,walking
287,1,walking
288,1,walking
289,1,walking
290,1,walking
291,1,walking
292,1,walking
293,1,walking
294,1,walking
295,1,walking
296,1,walking
297,1,walking
298,1,walking
299,1,walking
300,1,walking
301,1,walking
302,1,walking
303,1,walking
304,1,walking
305,1,walking
306,1,walking
307,1,walking
308,1,walking
309,1,walking
310,1,walking
311,1,walking
312,1,walking
313,1,walking
314,1,walking
315,1,walking
316,1,walking
317,1,walking
318,1,walking
319,1,walking
320,1,walking
321,1,walking
322,1,walking
323,1,walking
324,1,walking
325,1,walking
326,1,walking
327,1,walking
328,1,walking
329,1,walking
330,1,walking
331,2,rearing
332,2,rearing
333,2,rearing
334,2,rearing
335,2,rearing
336,2,rearing
337,2,rearing
338,2,rearing
339,2,rearing
340,2,rearing
341,2,rearing
342,2,rearing
343,2,rearing
344,2,rearing
345,2,rearing
346,2,rearing
347,2,rearing
348,2,rearing
349,1,walking
350,1,walking
351,1,walking
352,1,walking
353,1,walking
354,1,walking
355,1,walking
356,1,walking
357,1,walking
358,1,walking
359,1,walking
360,1,walking
361,1,walking
362,1,walking
363,1,walking
364,1,walking
365,1,walking
366,1,walking
367,1,walking
368,1,walking
369,1,walking
370,1,walking
371,1,walking
372,1,walking
373,1,walking
374,1,walking
375,1,walking
376,1,walking
377,1,walking
378,1,walking
379,1,walking
380,1,walking
381,1,walking
382,1,walking
383,1,walking
384,1,walking
385,1,walking
386,1,walking
387,1,walking
388,1,walking
389,1,walking
390,1,walking
391,1,walking
392,1,walking
393,1,walking
394,1,walking
395,1,walking
396,1,walking
397,1,walking
398,1,walking
399,1,walking
400,1,walking
401,1,walking
402,1,walking
403,1,walking
404,1,walking
405,1,walking
406,1,walking
407,1,walking
408,1,walking
409,1,walking
410,1,walking
411,1,walking
412,1,walking
413,1,walking
414,1,walking
415,1,walking
416,1,walking
417,1,walking
418,1,walking
419,1,walking
420,1,walking
421,1,walking
422,1,walking
423,1,walking
424,1,walking
425,1,walking
426,1,walking
427,1,walking
428,1,walking
429,1,walking
430,1,walking
431,1,walking
432,1,walking
433,1,walking
434,1,walking
435,1,walking
436,1,walking
437,1,walking
438,1,walking
439,1,walking
440,1,walking
441,1,walking
442,1,walking
443,1,walking
444,1,walking
445,1,walking
446,1,walking
447,1,walking
448,1,walking
449,1,walking
450,1,walking
451,1,walking
452,1,walking
453,1,walking
454,1,walking
455,1,walking
456,1,walking
457,1,walking
458,1,walking
459,1,walking
460,1,walking
461,1,walking
462,1,walking
463,1,walking
464,1,walking
465,1,walking
466,1,walking
467,1,walking
468,1,walking
469,1,walking
470,1,walking
471,1,walking
472,1,walking
